VDOM,srcint,dstint,SRC,DST,SVC,ACTION
ADM,any,ADM_WAN,all,G-CIBER-IPS_MALICIOSAS,all,deny
ADM,MGMT_WIRED,ADM_WAN,net_mgmt_wired,G_IDC,all,allow
ADM,MGMT_WIRELESS,ADM_WAN,net_mgmt_wireless,G_IDC,all,allow
ADM,ADM_WAN,MGMT_WIRED,G_IDC,net_mgmt_wired,all,allow
ADM,ADM_WAN,MGMT_WIRELESS,G_IDC,net_mgmt_wireless,all,allow
ADM,ADM_WAN,MGMT_WIRELESS,G-WLC,net_mgmt_wireless,CAPWAP,allow
ADM,MGMT_WIRELESS,ADM_WAN,net_mgmt_wireless,G-WLC,CAPWAP,allow
ADM,any,ADM_WAN,all,G-AKAMAI,DNS,allow
ADM,any,any,all,all,all,deny
BMS,any,BMS-WAN,all,G-CIBER-IPS_MALICIOSAS,all,deny
BMS,any,BMS-WAN,all,G-AKAMAI,DNS,allow
BMS,any,any,all,all,all,deny
HOSP,any,HOSP_WAN,all,G-CIBER-IPS_MALICIOSAS,all,deny
HOSP,CORP_USER_WIRED,PLEXUS,net_corp_user_wired,net_plexus,all,allow
HOSP,CORP_USER_WIRED,VOIP,net_corp_user_wired,net_voip,all,allow
HOSP,CORP_USER_WIRED,IMPRESORAS,net_corp_user_wired,net_impresoras,all,allow
HOSP,CORP_USER_WIRED,HOSP_WAN,net_corp_user_wired,G_INTERNET,all,allow
HOSP,PLEXUS,CORP_USER_WIRED,net_plexus,net_corp_user_wired,all,allow
HOSP,PLEXUS,HOSP_WAN,net_plexus,G_IDC,all,allow
HOSP,PLEXUS,HOSP_WAN,net_plexus,G_INTERNET,all,allow
HOSP,IMPRESORAS,CORP_USER_WIRED,net_impresoras,net_corp_user_wired,all,allow
HOSP,IMPRESORAS,HOSP_WAN,net_impresoras,G_IDC,all,allow
HOSP,IMPRESORAS,HOSP_WAN,net_impresoras,G_INTERNET,all,allow
HOSP,RADIOLOGIA,PLEXUS,net_radio,net_plexus,all,allow
HOSP,RADIOLOGIA,IMPRESORAS,net_radio,net_impresoras,all,allow
HOSP,RADIOLOGIA,HOSP_WAN,net_radio,G_IDC,all,allow
HOSP,ELECTROMEDICINA,PLEXUS,net_elecmd,net_plexus,all,allow
HOSP,ELECTROMEDICINA,IMPRESORAS,net_elecmd,net_impresoras,all,allow
HOSP,ELECTROMEDICINA,HOSP_WAN,net_elecmd,G_IDC,all,allow
HOSP,VOIP,CORP_USER_WIRED,net_voip,net_corp_user_wired,all,allow
HOSP,VOIP,HOSP_WAN,net_voip,G_IDC,all,allow
HOSP,CUARENTENA,HOSP_WAN,net_cuarentena,G_IDC,all,allow
HOSP,HOSP_WAN,PLEXUS,G_IDC,net_plexus,all,allow
HOSP,HOSP_WAN,IMPRESORAS,G_IDC,net_impresoras,all,allow
HOSP,HOSP_WAN,RADIOLOGIA,G_IDC,net_radio,all,allow
HOSP,HOSP_WAN,ELECTROMEDICINA,G_IDC,net_elecmd,all,allow
HOSP,HOSP_WAN,ELECTROMEDICINA,N-PHILIPS,net_elecmd,TCP-4440 TCP-4444 TCP-5660 TCP-8081 TCP-9044 TCP-9055 TCP-9903 FTP HTTP HTTPS RDP SSH TELNET VNC,allow
HOSP,ELECTROMEDICINA,HOSP_WAN,net_elecmd,N-PHILIPS,TCP-8081 HTTP HTTPS,allow
HOSP,HOSP_WAN,ELECTROMEDICINA,N_GENERAL_ELECTRIC,net_elecmd,ALL_ICMP FTP HTTP HTTPS REXEC SSH TELNET VNC,allow
HOSP,any,HOSP_WAN,all,G-AKAMAI,DNS,allow
HOSP,HOSP_WAN,any,all,all,all,deny
WAN,SDWAN,WAN_ADM,G-CIBER-IPS_MALICIOSAS,all,all,deny
WAN,SDWAN,WAN_BMS,G-CIBER-IPS_MALICIOSAS,all,all,deny
